tf,target,confidence
CREB1,FEZ1,Low
CREB1,FAM78B,Low
CREB1,FBRS,Low
CREB1,FBXL19,Low
CREB1,FBXO42,Low
CREB1,FBXL14,Low
CREB1,FBXL17,Low
CREB1,FAM83F,Low
CREB1,FASLG,Low
CREB1,FAT4,Low
CREB1,FAM83H,Low
CREB1,FAM8A1,Low
CREB1,EXOC6B,Low
CREB1,FAM219B,Low
CREB1,FAM69B,Low
CREB1,FAM72D,Low
CREB1,FAM76B,Low
CREB1,FAM21A,Low
CREB1,FAM50A,Low
CREB1,FAM63B,Low
CREB1,FAM21C,Low
CREB1,FAM221B,Low
CREB1,EXOSC7,Low
CREB1,FAM167A,Low
CREB1,FAM217B,Low
CREB1,FAM174A,Low
CREB1,FAM178A,Low
CREB1,EYA4,Low
CREB1,FAM160A1,Low
CREB1,FAF2,Low
CREB1,FAM150B,Low
CREB1,EARS2,Low
CREB1,EMC2,Low
CREB1,EPM2AIP1,Low
CREB1,ESYT2,Low
CREB1,ETFB,Low
CREB1,ETNK1,Low
CREB1,EPO,Low
CREB1,ESRRG,Low
CREB1,ESYT1,Low
CREB1,EPS8L2,Low
CREB1,ERN1,Low
CREB1,EMD,Low
CREB1,EP300,Low
CREB1,EPHA2,Low
CREB1,EPB41L1,Low
CREB1,EPC2,Low
CREB1,EMILIN3,Low
CREB1,ENTPD6,Low
CREB1,EML6,Low
CREB1,ENOPH1,Low
CREB1,ECE1,Low
CREB1,EIF1B,Low
CREB1,ELAVL2,Low
CREB1,ELMO1,Low
CREB1,ELMO2,Low
CREB1,EIF2C3,Low
CREB1,EIF4E3,Low
CREB1,EIF5A,Low
CREB1,EIF3A,Low
CREB1,EIF3D,Low
CREB1,ECI1,Low
CREB1,EFHA1,Low
CREB1,EIF1AX,Low
CREB1,EGFL7,Low
CREB1,EID2B,Low
CREB1,EDC4,Low
CREB1,EFCAB5,Low
CREB1,EDN1,Low
CREB1,EEF2,Low
CREB1,CPNE1,Low
CREB1,DHRS3,Low
CREB1,DNAJC9,Low
CREB1,DSE,Low
CREB1,DUSP13,Low
CREB1,DUSP8,Low
CREB1,DSP,Low
CREB1,DUS3L,Low
CREB1,DUSP10,Low
CREB1,DST,Low
CREB1,DTL,Low
CREB1,DNTTIP1,Low
CREB1,DPH3,Low
CREB1,DSCAML1,Low
CREB1,DPP3,Low
CREB1,DRAP1,Low
CREB1,DOC2B,Low
CREB1,DPCR1,Low
CREB1,DPH1,Low
CREB1,DOK1,Low
CREB1,DOLPP1,Low
CREB1,DHX58,Low
CREB1,DLX6,Low
CREB1,DNAJC27,Low
CREB1,DNAJC27-AS1,Low
CREB1,DNAJC30,Low
CREB1,DMD,Low
CREB1,DNAJB2,Low
CREB1,DNAJB5,Low
CREB1,DMRTA2,Low
CREB1,DNAJB12,Low
CREB1,DIAPH1,Low
CREB1,DLEU2,Low
CREB1,DLST,Low
CREB1,DLGAP4,Low
CREB1,DLL1,Low
CREB1,DIO3OS,Low
CREB1,DLAT,Low
CREB1,DIXDC1,Low
CREB1,DKFZP434I0714,Low
CREB1,CPT1B,Low
CREB1,CUTA,Low
CREB1,DARC,Low
CREB1,DES,Low
CREB1,DGAT1,Low
CREB1,DGKH,Low
CREB1,DCAF6,Low
CREB1,DDX4,Low
CREB1,DDX49,Low
CREB1,DDX19A,Low
CREB1,DDX28,Low
CREB1,CXCL16,Low
CREB1,CYP51A1,Low
CREB1,DAGLA,Low
CREB1,DACH1,Low
CREB1,DACT1,Low
CREB1,CXCR5,Low
CREB1,CYHR1,Low
CREB1,CYB561D2,Low
CREB1,CYB5D1,Low
CREB1,CRB1,Low
CREB1,CRY1,Low
CREB1,CTNND2,Low
CREB1,CTSA,Low
CREB1,CUL9,Low
CREB1,CSNK1A1,Low
CREB1,CTBP2,Low
CREB1,CTNNA1,Low
CREB1,CSNK1G2,Low
CREB1,CSNK1G2-AS1,Low
CREB1,CREB3L2,Low
CREB1,CRLF1,Low
CREB1,CROCCP2,Low
CREB1,CRMP1,Low
CREB1,CRNDE,Low
CREB1,CREB5,Low
CREB1,CRKL,Low
CREB1,CRELD1,Low
CREB1,CRIPT,Low
CREB1,C7orf41,Low
CREB1,C8orf44,Low
CREB1,CDC5L,Low
CREB1,COL27A1,Low
CREB1,COQ7,Low
CREB1,CBX4,Low
CREB1,COQ5,Low
CREB1,COL4A5,Low
CREB1,COQ2,Low
CREB1,CDH9,Low
CREB1,CHD1,Low
CREB1,CLASP2,Low
CREB1,CNNM4,Low
CREB1,COBLL1,Low
CREB1,CNOT2,Low
CREB1,CNTFR,Low
CREB1,CNTROB,Low
CREB1,CNOT4,Low
CREB1,CNOT7,Low
CREB1,CLCF1,Low
CREB1,CLPTM1L,Low
CREB1,CMIP,Low
CREB1,CLSTN3,Low
CREB1,CLTC,Low
CREB1,CLDN15,Low
CREB1,CLOCK,Low
CREB1,CLPTM1,Low
CREB1,CLDN6,Low
CREB1,CLDND2,Low
CREB1,CHD2,Low
CREB1,CHRNG,Low
CREB1,CITED4,Low
CREB1,CKMT1A,Low
CREB1,CKMT1B,Low
CREB1,CHST11,Low
CREB1,CIRBP-AS1,Low
CREB1,CITED2,Low
CREB1,CILP2,Low
CREB1,CIRBP,Low
CREB1,CHD5,Low
CREB1,CHMP4B,Low
CREB1,CHRNA3,Low
CREB1,CHPF,Low
CREB1,CHRM1,Low
CREB1,CHEK1,Low
CREB1,CHMP1B,Low
CREB1,CHKB,Low
CREB1,CHKB-CPT1B,Low
CREB1,CDHR2,Low
CREB1,CDK9,Low
CREB1,CEP95,Low
CREB1,CHCHD4,Low
CREB1,CERK,Low
CREB1,CH25H,Low
CREB1,CHAC1,Low
CREB1,CERS6,Low
CREB1,CGN,Low
CREB1,CDS1,Low
CREB1,CDS2,Low
CREB1,CELF6,Low
CREB1,CELSR3,Low
CREB1,CDK2AP2,Low
CREB1,CDK5R2,Low
CREB1,CCDC107,Low
CREB1,CCND2,Low
CREB1,CDC42BPA,Low
CREB1,CCNI,Low
CREB1,CDC20B,Low
CREB1,CDC27,Low
CREB1,CCNK,Low
CREB1,CD47,Low
CREB1,CCDC130,Low
CREB1,CCDC85C,Low
CREB1,CCDC86,Low
CREB1,CCL19,Low
CREB1,CCDC149,Low
CREB1,CCDC59,Low
CREB1,CCDC47,Low
CREB1,CCDC48,Low
CREB1,CAMK2N2,Low
CREB1,CBWD3,Low
CREB1,C8orf44-SGK3,Low
CREB1,CBWD5,Low
CREB1,CBWD6,Low
CREB1,CBX3P2,Low
CREB1,CAMSAP3,Low
CREB1,CATSPER4,Low
CREB1,CBWD2,Low
CREB1,CBFB,Low
CREB1,CBWD1,Low
CREB1,CAMTA1,Low
CREB1,CARTPT,Low
CREB1,CAPN6,Low
CREB1,CAPRIN1,Low
CREB1,CA10,Low
CREB1,CACNG8,Low
CREB1,CALB2,Low
CREB1,CAMK2N1,Low
CREB1,CAMK2A,Low
CREB1,CAMK2D,Low
CREB1,CACNA1E,Low
CREB1,CACNB2,Low
CREB1,PTMA,Low
CREB1,CACNB4,Low
CREB1,CACNA1G,Low
CREB1,CACNA1S,Low
CREB1,CACNB1,Low
CREB1,SCG5,Low
CREB1,TMEM183B,Low
CREB1,TOMM20,Low
CREB1,GNB1,Low
CREB1,RMRP,Low
CREB1,TOMM22,Low
CREB1,C6orf48,Low
CREB1,ZFR,Low
CREB1,TOMM40,Low
CREB1,ZFR2,Low
CREB1,ZFX,Low
CREB1,ZNF576,Low
CREB1,ZNF598,Low
CREB1,ZNRD1-AS1,Low
CREB1,ZZEF1,Low
CREB1,ZRANB3,Low
CREB1,ZXDC,Low
CREB1,ZNF644,Low
CREB1,ZNRD1,Low
CREB1,ZNF687,Low
CREB1,ZNF711,Low
CREB1,ZNF746,Low
CREB1,ZFYVE27,Low
CREB1,ZNF319,Low
CREB1,ZNF503-AS2,Low
CREB1,ZNF518B,Low
CREB1,ZNF536,Low
CREB1,ZNF323,Low
CREB1,ZNF496,Low
CREB1,ZNF503,Low
CREB1,ZNF385A,Low
CREB1,ZIC4,Low
CREB1,ZNF295,Low
CREB1,ZNF24,Low
CREB1,ZNF274,Low
CREB1,ZMYM3,Low
CREB1,ZNF219,Low
CREB1,ZMYM5,Low
CREB1,TOR1AIP2,Low
CREB1,ZFAND5,Low
CREB1,TUBGCP2,Low
CREB1,ZC3H3,Low
CREB1,WNT10B,Low
CREB1,ZFP91,Low
CREB1,ZFP91-CNTF,Low
CREB1,ZC3H6,Low
CREB1,ZDHHC23,Low
CREB1,ZDHHC9,Low
CREB1,ZEB2,Low
CREB1,ZCCHC17,Low
CREB1,ZCCHC6,Low
CREB1,ZCWPW1,Low
CREB1,YTHDF1,Low
CREB1,ZC3H14,Low
CREB1,WNT5A,Low
CREB1,ZC3H18,Low
CREB1,YWHAH,Low
CREB1,ZBTB7A,Low
CREB1,ZBTB9,Low
CREB1,ZC3H12B,Low
CREB1,ZBTB16,Low
CREB1,ZBTB37,Low
CREB1,WRNIP1,Low
CREB1,YIPF6,Low
CREB1,YPEL5,Low
CREB1,YTHDC2,Low
CREB1,YPEL3,Low
CREB1,YPEL4,Low
CREB1,WSB1,Low
CREB1,XYLT2,Low
CREB1,YAP1,Low
CREB1,YIF1A,Low
CREB1,XKR6,Low
CREB1,XPNPEP3,Low
CREB1,VARS2,Low
CREB1,WDR48,Low
CREB1,WNT10A,Low
CREB1,TWF1,Low
CREB1,WDR91,Low
CREB1,WFIKKN1,Low
CREB1,WHSC1L1,Low
CREB1,WISP1,Low
CREB1,WEE1,Low
CREB1,WFDC6,Low
CREB1,VASH1,Low
CREB1,VRK3,Low
CREB1,WDFY2,Low
CREB1,WDR18,Low
CREB1,WAPAL,Low
CREB1,WBP5,Low
CREB1,VEGFA,Low
CREB1,VMO1,Low
CREB1,VPRBP,Low
CREB1,VEGFB,Low
CREB1,VEZF1,Low
CREB1,TXLNG,Low
CREB1,UMPS,Low
CREB1,USP9X,Low
CREB1,USPL1,Low
CREB1,VAMP3,Low
CREB1,USP24,Low
CREB1,USP39,Low
CREB1,USP44,Low
CREB1,UROD,Low
CREB1,USP21,Low
CREB1,USP2,Low
CREB1,TXNDC11,Low
CREB1,UBN2,Low
CREB1,UCHL5,Low
CREB1,UBP1,Low
CREB1,UBQLN1,Low
CREB1,UBR3,Low
CREB1,TXNDC16,Low
CREB1,UBC,Low
CREB1,UBE2D3,Low
CREB1,TXNDC17,Low
CREB1,TXNL1,Low
CREB1,U2AF1L4,Low
CREB1,TUBB2B,Low
CREB1,TTC16,Low
CREB1,TTC3,Low
CREB1,TUBA4A,Low
CREB1,TUBA4B,Low
CREB1,TTC39B,Low
CREB1,TTF1,Low
CREB1,TRPM2,Low
CREB1,TSSK3,Low
CREB1,TTC1,Low
CREB1,TSPYL5,Low
CREB1,TRPV3,Low
CREB1,TSC22D2,Low
CREB1,TSHZ1,Low
CREB1,TRAP1,Low
CREB1,TRMT5,Low
CREB1,TPD52,Low
CREB1,TRPC1,Low
CREB1,TRPC5,Low
CREB1,TRAPPC10,Low
CREB1,TRMT2A,Low
CREB1,TRAPPC11,Low
CREB1,TRIM47,Low
CREB1,TRIP10,Low
CREB1,TPD52L2,Low
CREB1,TPT1-AS1,Low
CREB1,C6orf106,Low
CREB1,TMEM88,Low
CREB1,TNFSF12-TNFSF13,Low
CREB1,TMEM219,Low
CREB1,TMEM55A,Low
CREB1,TMEM5,Low
CREB1,TNIP2,Low
CREB1,TNRC6B,Low
CREB1,TOB1,Low
CREB1,TMEM97,Low
CREB1,TMEM8B,Low
CREB1,TMEM9B,Low
CREB1,TNFSF12,Low
CREB1,TMEM71,Low
CREB1,ARF5,Low
CREB1,BOD1,Low
CREB1,C5orf15,Low
CREB1,BACH2,Low
CREB1,ARHGAP27,Low
CREB1,BRAF,Low
CREB1,C16orf48,Low
CREB1,C22orf24,Low
CREB1,C4orf21,Low
CREB1,C22orf32,Low
CREB1,C3orf26,Low
CREB1,C4orf19,Low
CREB1,C2CD4B,Low
CREB1,C2orf43,Low
CREB1,C16orf53,Low
CREB1,C19orf63,Low
CREB1,C1orf86,Low
CREB1,C19orf66,Low
CREB1,C1orf74,Low
CREB1,C16orf7,Low
CREB1,C17orf65,Low
CREB1,C17orf80,Low
CREB1,C17orf61,Low
CREB1,C17orf61-PLSCR3,Low
CREB1,BRD2,Low
CREB1,C12orf42,Low
CREB1,C14orf49,Low
CREB1,C15orf52,Low
CREB1,C15orf59,Low
CREB1,C12orf47,Low
CREB1,C14orf162,Low
CREB1,C14orf43,Low
CREB1,C12orf66,Low
CREB1,C14orf109,Low
CREB1,BTBD18,Low
CREB1,C11orf1,Low
CREB1,C12orf39,Low
CREB1,C11orf58,Low
CREB1,C12orf32,Low
CREB1,BTBD9,Low
CREB1,BZRAP1,Low
CREB1,C10orf46,Low
CREB1,BTG2,Low
CREB1,BUD31,Low
CREB1,BMF,Low
CREB1,BAHD1,Low
CREB1,BCL6B,Low
CREB1,BNIP3L,Low
CREB1,BIN1,Low
CREB1,BET1,Low
CREB1,BEX1,Low
CREB1,BHLHA15,Low
CREB1,BAI2,Low
CREB1,BCL2L11,Low
CREB1,BCL2L13,Low
CREB1,BCAR3,Low
CREB1,BAP1,Low
CREB1,BAZ2B,Low
CREB1,BCAP31,Low
CREB1,ATP5D,Low
CREB1,AVPI1,Low
CREB1,B9D2,Low
CREB1,ARHGEF10L,Low
CREB1,B4GALT3,Low
CREB1,B3GNT2,Low
CREB1,B4GALNT4,Low
CREB1,B4GALT2,Low
CREB1,ATP5G1,Low
CREB1,ATXN2L,Low
CREB1,ATXN7L1,Low
CREB1,ATXN7L3,Low
CREB1,ATXN1L,Low
CREB1,ATP5G3,Low
CREB1,ATP8B3,Low
CREB1,ATXN1,Low
CREB1,ARID1A,Low
CREB1,ARNT,Low
CREB1,ATG5,Low
CREB1,ATOH8,Low
CREB1,ATF1,Low
CREB1,ARRB1,Low
CREB1,ASIC4,Low
CREB1,ASNA1,Low
CREB1,ARIH1,Low
CREB1,ARMCX3,Low
CREB1,ARMCX4,Low
CREB1,ARMCX6,Low
CREB1,ARMCX1,Low
CREB1,ARL5B,Low
CREB1,ARL6IP5,Low
CREB1,ARL6IP6,Low
CREB1,ANAPC16,Low
CREB1,APEX1,Low
CREB1,APBB1,Low
CREB1,ADAMTS17,Low
CREB1,APBB2,Low
CREB1,ANGEL1,Low
CREB1,ANKS1A,Low
CREB1,AP1AR,Low
CREB1,AP2A2,Low
CREB1,ANKRD17,Low
CREB1,ANKRA2,Low
CREB1,ANKRD13A,Low
CREB1,ANKRD13C,Low
CREB1,ADAMTS3,Low
CREB1,AK2,Low
CREB1,AMIGO3,Low
CREB1,AMHR2,Low
CREB1,AKIRIN1,Low
CREB1,AKT1S1,Low
CREB1,ALKBH4,Low
CREB1,ADAMTS6,Low
CREB1,ADRB1,Low
CREB1,AIMP2,Low
CREB1,AJUBA,Low
CREB1,AFG3L1P,Low
CREB1,AIG1,Low
CREB1,ADRA2C,Low
CREB1,ADCY8,Low
CREB1,ADCYAP1,Low
CREB1,ADM2,Low
CREB1,TP53BP1,Low
CREB1,ACPT,Low
CREB1,ACTR3B,Low
CREB1,ACY1,Low
CREB1,ADAL,Low
CREB1,TRPC6,Low
CREB1,ACIN1,Low
CREB1,ABLIM3,Low
CREB1,ABR,Low
CREB1,ACD,Low
CREB1,ABHD16B,Low
CREB1,AANAT,Low
CREB1,AATK-AS1,Low
CREB1,ABCE1,Low
CREB1,ADK,Low
CREB3,BNIP2,Low
CREB3,STX8,Low
CREB3,CCR1,Low
CREB3,HCFC1,Low
CREB3,EMD,Low
CREB3,NFIL3,Low
CREB3,MALL,Low
CREB3,APPBP2,Low
CREB3L1,CREM,Low
CREB3L1,CREB3L3,Low
CREB3L1,CREB3L1,Low
CREB3L3,USP7,Low
CREB3L3,ATF6,Low
CREB3L3,CREB3L1,Low
CREB3L3,CEBPG,Low
CREB5,JUN,Low
CREB5,CREB5,Low
CREB5,ATF2,Low
CREBZF,HCFC1,Low
CREM,KCNIP3,Low
CREM,CREM,Low
CREM,FHL5,Low
CREM,TAF4,Low
CREM,CSNK1A1,Low
CREM,CSNK2A1,Low
CREM,CDK1,Low
CREM,CSNK2A2,Low
CREM,TBP,Low
CREM,CAMK2D,Low
CREM,CREBBP,Low
CREM,PRKCA,Low
CREM,ATF1,Low
CREM,SPI1,Low
CREM,CREB1,Low
CREM,GSK3B,Low
CREM,CREB3L1,Low
CREM,PRKACA,Low
CREM,CDC34,Low
CREM,GSK3A,Low
CREM,CAMK2G,Low
CRX,CREBBP,Low
CRX,NRL,Low
CRX,C2orf65,Low
CRX,RAX2,Low
CRX,IPO13,Low
CRX,EP300,Low
CRX,NR2E3,Low
CRX,BANF1,Low
CRX,PDC,Low
CRX,ATXN7,Low
CRX,MDFI,Low
CTCF,hsa-miR-95,Low
CTCF,THRB,Low
CTCF,hsa-miR-943,Low
CTCF,HMGB1,Low
CTCF,hsa-miR-941,Low
CTCF,SMAD4,Low
CTCF,hsa-miR-938,Low
CTCF,SMAD3,Low
CTCF,hsa-miR-936,Low
CTCF,YBX1,Low
CTCF,hsa-miR-935,Low
CTCF,POLR2A,Low
CTCF,hsa-miR-933,Low
CTCF,CDX1,Low
CTCF,hsa-miR-92a-3p,Low
CTCF,FZD4,Low
CTCF,hsa-miR-92a-2-5p,Low
CTCF,DAAM1,Low
CTCF,hsa-miR-92a-1-5p,Low
CTCF,C16orf62,Low
CTCF,hsa-miR-920,Low
CTCF,ABHD6,Low
CTCF,hsa-miR-9-5p,Low
CTCF,CEACAM3,Low
CTCF,hsa-miR-9-3p,Low
CTCF,CEACAM18,Low
CTCF,hsa-miR-889,Low
CTCF,CYTH2,Low
CTCF,hsa-miR-887,Low
CTCF,CEACAM5,Low
CTCF,hsa-miR-885-5p,Low
CTCF,CEACAM6,Low
CTCF,hsa-miR-885-3p,Low
CTCF,D4S234E,Low
CTCF,hsa-miR-877-5p,Low
CTCF,CEACAM7,Low
CTCF,hsa-miR-877-3p,Low
CTCF,CEBPB,Low
CTCF,hsa-miR-875-5p,Low
CTCF,CEBPD,Low
CTCF,hsa-miR-875-3p,Low
CTCF,CEACAM8,Low
CTCF,hsa-miR-873-5p,Low
CTCF,CEBPA,Low
CTCF,hsa-miR-873-3p,Low
CTCF,CEACAM1,Low
CTCF,hsa-miR-770-5p,Low
CTCF,TDP1,Low
CTCF,hsa-miR-769-5p,Low
CTCF,ABHD8,Low
CTCF,hsa-miR-769-3p,Low
CTCF,TDRD3,Low
CTCF,hsa-miR-764,Low
CTCF,ABTB2,Low
CTCF,hsa-miR-762,Low
CTCF,ARL4D,Low
CTCF,hsa-miR-761,Low
CTCF,ALPL,Low
CTCF,hsa-miR-760,Low
CTCF,ARHGAP4,Low
CTCF,hsa-miR-759,Low
CTCF,ANXA4,Low
CTCF,hsa-miR-744-5p,Low
CTCF,ABR,Low
CTCF,hsa-miR-744-3p,Low
CTCF,ARL8B,Low
CTCF,hsa-miR-7-5p,Low
CTCF,CCND1,Low
CTCF,hsa-miR-7-2-3p,Low
CTCF,ARRDC2,Low
CTCF,hsa-miR-676-5p,Low
CTCF,C16orf86,Low
CTCF,hsa-miR-676-3p,Low
CTCF,C16orf91,Low
CTCF,hsa-miR-675-5p,Low
CTCF,ARMC10,Low
CTCF,hsa-miR-675-3p,Low
CTCF,ARMCX6,Low
CTCF,hsa-miR-671-5p,Low
CTCF,ARRB2,Low
CTCF,hsa-miR-671-3p,Low
CTCF,ARMC5,Low
CTCF,hsa-miR-668,Low
CTCF,ARMCX4,Low
CTCF,hsa-miR-664-5p,Low
CTCF,ARHGAP40,Low
CTCF,hsa-miR-664-3p,Low
CTCF,ARID3A,Low
CTCF,hsa-miR-662,Low
CTCF,ARL2BP,Low
CTCF,hsa-miR-661,Low
CTCF,ARL4A,Low
CTCF,hsa-miR-659-5p,Low
CTCF,ARL4C,Low
CTCF,hsa-miR-659-3p,Low
CTCF,ARID5B,Low
CTCF,hsa-miR-658,Low
CTCF,ARL2,Low
CTCF,hsa-miR-657,Low
CTCF,ARL2-SNX15,Low
CTCF,hsa-miR-656,Low
CTCF,ARL10,Low
CTCF,hsa-miR-655,Low
CTCF,ARL15,Low
CTCF,hsa-miR-654-5p,Low
CTCF,ARHGAP5,Low
CTCF,hsa-miR-654-3p,Low
CTCF,ARHGEF17,Low
CTCF,hsa-miR-652-5p,Low
CTCF,ARHGEF7,Low
CTCF,hsa-miR-652-3p,Low
CTCF,ARHGEF3,Low
CTCF,hsa-miR-651,Low
CTCF,ARHGEF40,Low
CTCF,hsa-miR-649,Low
CTCF,ARHGAP5-AS1,Low
CTCF,hsa-miR-648,Low
CTCF,ARHGEF16,Low
CTCF,hsa-miR-647,Low
CTCF,ARHGDIA,Low
CTCF,hsa-miR-643,Low
CTCF,ARHGEF12,Low
CTCF,hsa-miR-642b-5p,Low
CTCF,ANXA9,Low
CTCF,hsa-miR-642b-3p,Low
CTCF,APOBR,Low
CTCF,hsa-miR-642a-5p,Low
CTCF,ARHGAP29,Low
CTCF,hsa-miR-642a-3p,Low
CTCF,ARG2,Low
CTCF,hsa-miR-641,Low
CTCF,ARHGAP19,Low
CTCF,hsa-miR-640,Low
CTCF,ARHGAP23,Low
CTCF,hsa-miR-638,Low
CTCF,ARHGAP27,Low
CTCF,hsa-miR-637,Low
CTCF,ARHGAP19-SLIT1,Low
CTCF,hsa-miR-636,Low
CTCF,ARHGAP22,Low
CTCF,hsa-miR-635,Low
CTCF,APOC3,Low
CTCF,hsa-miR-634,Low
CTCF,ARAP1,Low
CTCF,hsa-miR-633,Low
CTCF,ARFIP1,Low
CTCF,hsa-miR-631,Low
CTCF,ARF5,Low
CTCF,hsa-miR-628-5p,Low
CTCF,ARFGAP2,Low
CTCF,hsa-miR-628-3p,Low
CTCF,APOE,Low
CTCF,hsa-miR-627,Low
CTCF,AQP6,Low
CTCF,hsa-miR-626,Low
CTCF,APOL2,Low
CTCF,hsa-miR-624-5p,Low
CTCF,APOL4,Low
CTCF,hsa-miR-624-3p,Low
CTCF,AOC2,Low
CTCF,hsa-miR-620,Low
CTCF,APC,Low
CTCF,hsa-miR-619,Low
CTCF,APOA1,Low
CTCF,hsa-miR-618,Low
CTCF,APOBEC3C,Low
CTCF,hsa-miR-617,Low
CTCF,APC2,Low
CTCF,hsa-miR-615-5p,Low
CTCF,APITD1-CORT,Low
CTCF,hsa-miR-615-3p,Low
CTCF,APLF,Low
CTCF,hsa-miR-614,Low
CTCF,API5,Low
CTCF,hsa-miR-613,Low
CTCF,APITD1,Low
CTCF,hsa-miR-612,Low
CTCF,AP1B1P1,Low
CTCF,hsa-miR-611,Low
CTCF,APAF1,Low
CTCF,hsa-miR-608,Low
CTCF,APBA2,Low
CTCF,hsa-miR-607,Low
CTCF,APBB2,Low
CTCF,hsa-miR-606,Low
CTCF,AP2A2,Low
CTCF,hsa-miR-605,Low
CTCF,AP4B1,Low
CTCF,hsa-miR-604,Low
CTCF,AP3M1,Low
CTCF,hsa-miR-603,Low
CTCF,AP3M2,Low
CTCF,hsa-miR-602,Low
CTCF,ALS2CL,Low
CTCF,hsa-miR-601,Low
CTCF,AMFR,Low
CTCF,hsa-miR-600,Low
CTCF,ANKRD6,Low
CTCF,hsa-miR-599,Low
CTCF,ANKS6,Low
CTCF,hsa-miR-598,Low
CTCF,ANO5,Low
CTCF,hsa-miR-597,Low
CTCF,ANXA2R,Low
CTCF,hsa-miR-596,Low
CTCF,ANTXR1,Low
CTCF,hsa-miR-592,Low
CTCF,ANXA2P2,Low
CTCF,hsa-miR-590-5p,Low
CTCF,AMN,Low
CTCF,hsa-miR-590-3p,Low
CTCF,ANKRD2,Low
CTCF,hsa-miR-589-5p,Low
CTCF,ANKRD46,Low
CTCF,hsa-miR-589-3p,Low
CTCF,ANKRD52,Low
CTCF,hsa-miR-586,Low
CTCF,ANKRD20A11P,Low
CTCF,hsa-miR-581,Low
CTCF,ANKRD36,Low
CTCF,hsa-miR-580,Low
CTCF,ANKRD44,Low
CTCF,hsa-miR-579,Low
CTCF,ANKRD20A5P,Low
CTCF,hsa-miR-578,Low
CTCF,ANKRD32,Low
CTCF,hsa-miR-574-5p,Low
CTCF,AMOTL2,Low
CTCF,hsa-miR-574-3p,Low
CTCF,ANKMY1,Low
CTCF,hsa-miR-573,Low
CTCF,ANKRD11,Low
CTCF,hsa-miR-572,Low
CTCF,ANKRD13B,Low
CTCF,hsa-miR-571,Low
CTCF,AMZ1,Low
CTCF,hsa-miR-5708,Low
CTCF,ANKAR,Low
CTCF,hsa-miR-5705,Low
CTCF,ANAPC10,Low
CTCF,hsa-miR-5704,Low
CTCF,ANAPC2,Low
CTCF,hsa-miR-5703,Low
CTCF,ACACA,Low
CTCF,hsa-miR-5701,Low
CTCF,ACSM1,Low
CTCF,hsa-miR-5700,Low
CTCF,AGBL2,Low
CTCF,hsa-miR-570-5p,Low
CTCF,AKR1C3,Low
CTCF,hsa-miR-570-3p,Low
CTCF,ALG5,Low
CTCF,hsa-miR-5699,Low
CTCF,ALKBH2,Low
CTCF,hsa-miR-5698,Low
CTCF,CCNI2,Low
CTCF,hsa-miR-5697,Low
CTCF,ALKBH4,Low
CTCF,hsa-miR-5696,Low
CTCF,ALPK1,Low
CTCF,hsa-miR-5695,Low
CTCF,AKTIP,Low
CTCF,hsa-miR-5693,Low
CTCF,ALDH5A1,Low
CTCF,hsa-miR-5692a,Low
CTCF,ALG3,Low
CTCF,hsa-miR-5690,Low
CTCF,ALDH7A1,Low
CTCF,hsa-miR-569,Low
CTCF,ALG1L,Low
CTCF,hsa-miR-5689,Low
CTCF,ALDH1A2,Low
CTCF,hsa-miR-5687,Low
CTCF,ALDH1L2,Low
CTCF,hsa-miR-5686,Low
CTCF,ALDH3B1,Low
CTCF,hsa-miR-5685,Low
CTCF,ALDH1B1,Low
CTCF,hsa-miR-5683,Low
CTCF,ALDH1L1-AS1,Low
CTCF,hsa-miR-5682,Low
CTCF,AGFG1,Low
CTCF,hsa-miR-5681b,Low
CTCF,AIMP2,Low
CTCF,hsa-miR-5681a,Low
CTCF,AKD1,Low
CTCF,hsa-miR-5680,Low
CTCF,AKR1B1,Low
CTCF,hsa-miR-567,Low
CTCF,AIPL1,Low
CTCF,hsa-miR-5591-5p,Low
CTCF,AK3,Low
CTCF,hsa-miR-5591-3p,Low
CTCF,AKAP4,Low
CTCF,hsa-miR-5590-5p,Low
CTCF,AJAP1,Low
CTCF,hsa-miR-5590-3p,Low
CTCF,AJUBA,Low
CTCF,hsa-miR-559,Low
CTCF,AGPAT1,Low
CTCF,hsa-miR-5587-5p,Low
CTCF,AHCYL2,Low
CTCF,hsa-miR-5587-3p,Low
CTCF,AIM1,Low
CTCF,hsa-miR-5586-5p,Low
CTCF,AHDC1,Low
CTCF,hsa-miR-5586-3p,Low
CTCF,AHSA2,Low
CTCF,hsa-miR-5585-5p,Low
CTCF,AGPAT6,Low
CTCF,hsa-miR-5585-3p,Low
CTCF,AHCYL1,Low
CTCF,hsa-miR-5584-5p,Low
CTCF,AGRN,Low
CTCF,hsa-miR-5584-3p,Low
CTCF,AGTR1,Low
CTCF,hsa-miR-5583-5p,Low
CTCF,ACSS2,Low
CTCF,hsa-miR-5583-3p,Low
CTCF,ADCY3,Low
CTCF,hsa-miR-5581-5p,Low
CTCF,AFTPH,Low
CTCF,hsa-miR-5581-3p,Low
CTCF,ADRBK1,Low
CTCF,hsa-miR-5580-5p,Low
CTCF,ADRM1,Low
CTCF,hsa-miR-5580-3p,Low
CTCF,AFAP1L2,Low
CTCF,hsa-miR-5572,Low
CTCF,AFMID,Low
CTCF,hsa-miR-5571-5p,Low
CTCF,ADSS,Low
CTCF,hsa-miR-5571-3p,Low
CTCF,ADSSL1,Low
